title;author;publisher;isbn;barcode;category;year;language;pages;shelf;copies;status;keywords;description
İrade Eğitimi;Jules Payot;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0013;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
İnsan Neyle Yaşar?;Lev Nikolayeviç Tolstoy;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0014;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Mutlu Yaşam Üzerine – Yaşamın Kısalığı Üzerine;Seneca;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0015;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Türlerin Kökeni;Charles Darwin;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0016;Bilim / Klasikler;0;Türkçe;0;;1;Aktif;;
Genç Werther’in Acıları;Johann Wolfgang von Goethe;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0017;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Emma;Jane Austen;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0018;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
İki Şehrin Hikâyesi;Charles Dickens;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0019;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Tembellik Hakkı;Paul Lafargue;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0020;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Retorik;Aristoteles;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0021;Felsefe / Klasikler;0;Türkçe;0;;1;Aktif;;
Moby Dick ya da Balina;Herman Melville;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0022;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Dorian Gray’in Portresi;Oscar Wilde;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0023;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Monte Cristo Kontu – 2 Cilt;Alexandre Dumas;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0024;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Karamazov Kardeşler;Fyodor Mihayloviç Dostoyevski;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0025;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Hamlet;William Shakespeare;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0026;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Macbeth;William Shakespeare;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0027;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Othello;William Shakespeare;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0028;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Kral Lear;William Shakespeare;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0029;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Yeraltından Notlar;Fyodor Mihayloviç Dostoyevski;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0030;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Babalar ve Oğullar;İvan Sergeyeviç Turgenyev;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0031;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Gulliver’in Gezileri;Jonathan Swift;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0032;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Toplum Sözleşmesi;Jean-Jacques Rousseau;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0033;Felsefe / Klasikler;0;Türkçe;0;;1;Aktif;;
Utopia;Thomas More;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0034;Felsefe / Klasikler;0;Türkçe;0;;1;Aktif;;
Cimri;Molière;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0035;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Yüzbaşının Kızı;Aleksandr Sergeyeviç Puşkin;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0036;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Masallar;La Fontaine;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0037;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Akıl ve Tutku;Jane Austen;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0038;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Ezilenler;Fyodor Mihayloviç Dostoyevski;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0039;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Sanat Nedir?;Lev Nikolayeviç Tolstoy;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0040;Deneme / Klasikler;0;Türkçe;0;;1;Aktif;;
Şölen – Dostluk;Platon;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0041;Felsefe / Klasikler;0;Türkçe;0;;1;Aktif;;
Carmilla;Sheridan Le Fanu;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0042;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Kazaklar;Lev Nikolayeviç Tolstoy;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0043;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Eugénie Grandet;Honoré de Balzac;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0044;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
İtiraf;Lev Nikolayeviç Tolstoy;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0045;Anı / Klasikler;0;Türkçe;0;;1;Aktif;;
Otobiyografi;John Stuart Mill;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0046;Anı / Klasikler;0;Türkçe;0;;1;Aktif;;
Faust – Bir Tragedya;Johann Wolfgang von Goethe;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0047;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Candide ya da İyimserlik;Voltaire;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0048;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Perili Ev;Charles Dickens;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0049;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Bilge Nathan;Gotthold Ephraim Lessing;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0050;Tiyatro / Klasikler;0;Türkçe;0;;1;Aktif;;
Afife;Ahmet Rasim;;;EBS-KTP-0051;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Bir Sefilenin Evrak-ı Metrukesi;Ahmet Rasim;;;EBS-KTP-0052;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gam-ı Hicran;Ahmet Rasim;;;EBS-KTP-0053;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gülüp Ağladıklarım;Ahmet Rasim;;;EBS-KTP-0054;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Güzel Eleni;Ahmet Rasim;;;EBS-KTP-0055;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hamamcı Ülfet;Ahmet Rasim;;;EBS-KTP-0056;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İki Günahkar;Ahmet Rasim;;;EBS-KTP-0057;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İki Sevgili;Ahmet Rasim;;;EBS-KTP-0058;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Meyl-i Dil;Ahmet Rasim;;;EBS-KTP-0059;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Muharrir Bu Ya;Ahmet Rasim;;;EBS-KTP-0060;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ramazan Sohbetleri;Ahmet Rasim;;;EBS-KTP-0061;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Sevda-Yı Sermedi;Ahmet Rasim;;;EBS-KTP-0062;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ömr-i Edebi;Ahmet Rasim;;;EBS-KTP-0063;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ülfet;Ahmet Rasim;;;EBS-KTP-0064;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Şehir Mektupları;Ahmet Rasim;;;EBS-KTP-0065;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ben Deli Miyim?;H. Rahmi Gürpınar;;;EBS-KTP-0066;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Billur Kalp;H. Rahmi Gürpınar;;;EBS-KTP-0067;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Bir Muadele-İsevda;H. Rahmi Gürpınar;;;EBS-KTP-0068;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Cadı Çarpışıyor;H. Rahmi Gürpınar;;;EBS-KTP-0069;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Cadı;H. Rahmi Gürpınar;;;EBS-KTP-0070;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Can Pazarı;H. Rahmi Gürpınar;;;EBS-KTP-0071;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Cehennemlik;H. Rahmi Gürpınar;;;EBS-KTP-0072;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Deli Filozof;H. Rahmi Gürpınar;;;EBS-KTP-0073;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Dirilen İskelet;H. Rahmi Gürpınar;;;EBS-KTP-0074;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Dünyanın Mihveri Kadın Mı Para Mı?;H. Rahmi Gürpınar;;;EBS-KTP-0075;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Efsuncu Baba;H. Rahmi Gürpınar;;;EBS-KTP-0076;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Eti Senin Kemiği Benim;H. Rahmi Gürpınar;;;EBS-KTP-0077;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Evlere Şenlik;H. Rahmi Gürpınar;;;EBS-KTP-0078;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Eşkıya İninde;H. Rahmi Gürpınar;;;EBS-KTP-0079;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gulyabani;H. Rahmi Gürpınar;;;EBS-KTP-0080;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gönül Bir Yeldeğirmenidir Sevda Öğütür;H. Rahmi Gürpınar;;;EBS-KTP-0081;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gönül Ticareti;H. Rahmi Gürpınar;;;EBS-KTP-0082;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gülbahar Hanım;H. Rahmi Gürpınar;;;EBS-KTP-0083;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hakka Sığındık;H. Rahmi Gürpınar;;;EBS-KTP-0084;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hayattan Sayfalar;H. Rahmi Gürpınar;;;EBS-KTP-0085;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hazan Bülbülü;H. Rahmi Gürpınar;;;EBS-KTP-0086;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İffet;H. Rahmi Gürpınar;;;EBS-KTP-0087;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İki Damla Yaş;H. Rahmi Gürpınar;;;EBS-KTP-0088;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İki Hödüğün Seyahati;H. Rahmi Gürpınar;;;EBS-KTP-0089;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
İnsanlar Maymun Muydu;H. Rahmi Gürpınar;;;EBS-KTP-0090;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kaderin Cilvesi;H. Rahmi Gürpınar;;;EBS-KTP-0091;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kadın Erkekleşince;H. Rahmi Gürpınar;;;EBS-KTP-0092;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kadınlar Vaizi;H. Rahmi Gürpınar;;;EBS-KTP-0093;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Katil Buse;H. Rahmi Gürpınar;;;EBS-KTP-0094;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kaynanam Nasıl Kudurdu?;H. Rahmi Gürpınar;;;EBS-KTP-0095;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kesik Baş;H. Rahmi Gürpınar;;;EBS-KTP-0096;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kokotlar Mektebi;H. Rahmi Gürpınar;;;EBS-KTP-0097;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Kuyruklu Yıldız Altında Bir İzdivaç;H. Rahmi Gürpınar;;;EBS-KTP-0098;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Melek Sanmıştım Şeytanı;H. Rahmi Gürpınar;;;EBS-KTP-0099;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Metres;H. Rahmi Gürpınar;;;EBS-KTP-0100;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Meyhanede Hanımlar;H. Rahmi Gürpınar;;;EBS-KTP-0101;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Mezardan Kalkan Şehit;H. Rahmi Gürpınar;;;EBS-KTP-0102;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Mutallaka;H. Rahmi Gürpınar;;;EBS-KTP-0103;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Mürebbiye;H. Rahmi Gürpınar;;;EBS-KTP-0104;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Namusla Açlık Meselesi;H. Rahmi Gürpınar;;;EBS-KTP-0105;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Namuslu Kokotlar;H. Rahmi Gürpınar;;;EBS-KTP-0106;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Nimetşinas;H. Rahmi Gürpınar;;;EBS-KTP-0107;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Sanat Ve Edebiyat;H. Rahmi Gürpınar;;;EBS-KTP-0108;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Sevda Peşinde;H. Rahmi Gürpınar;;;EBS-KTP-0109;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Son Arzu;H. Rahmi Gürpınar;;;EBS-KTP-0110;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Tebessümü Elem;H. Rahmi Gürpınar;;;EBS-KTP-0111;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Tesadüf;H. Rahmi Gürpınar;;;EBS-KTP-0112;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Tokuşan Kafalar;H. Rahmi Gürpınar;;;EBS-KTP-0113;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Toraman;H. Rahmi Gürpınar;;;EBS-KTP-0114;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Tutulmuş Gönüller;H. Rahmi Gürpınar;;;EBS-KTP-0115;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Tünelden İlk Çıkış;H. Rahmi Gürpınar;;;EBS-KTP-0116;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Utanmaz Adam;H. Rahmi Gürpınar;;;EBS-KTP-0117;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ölüler Yaşıyor Mu;H. Rahmi Gürpınar;;;EBS-KTP-0118;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Ölüm Bir Kurtuluş Mudur?;H. Rahmi Gürpınar;;;EBS-KTP-0119;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Şekavet-i Edebiye Tartışmaları;H. Rahmi Gürpınar;;;EBS-KTP-0120;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Şeytan İşi;H. Rahmi Gürpınar;;;EBS-KTP-0121;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Şık;H. Rahmi Gürpınar;;;EBS-KTP-0122;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Şıpsevdi;H. Rahmi Gürpınar;;;EBS-KTP-0123;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Asım;M. Akif Ersoy;;;EBS-KTP-0124;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Fatih Kürsüsünde;M. Akif Ersoy;;;EBS-KTP-0125;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Gölgeler;M. Akif Ersoy;;;EBS-KTP-0126;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hakkın Sesleri;M. Akif Ersoy;;;EBS-KTP-0127;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Hatıralar;M. Akif Ersoy;;;EBS-KTP-0128;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Safahat;M. Akif Ersoy;;;EBS-KTP-0129;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Süleymaniye Kürsüsünde;M. Akif Ersoy;;;EBS-KTP-0130;Türk Edebiyatı / Bağımsız;0;Türkçe;0;;1;Aktif;;
Abdullah Efendi’nin Rüyaları;A. Hamdi Tanpınar;;;EBS-KTP-0131;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aynadaki Kadın;A. Hamdi Tanpınar;;;EBS-KTP-0132;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Beş Şehir;A. Hamdi Tanpınar;;;EBS-KTP-0133;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Edebiyat Üzerine Denemeler;A. Hamdi Tanpınar;;;EBS-KTP-0134;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Huzur;A. Hamdi Tanpınar;;;EBS-KTP-0135;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Mahur Beste;A. Hamdi Tanpınar;;;EBS-KTP-0136;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Saatleri Ayarlama Enstitüsü;A. Hamdi Tanpınar;;;EBS-KTP-0137;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sahnenin Dışındakiler;A. Hamdi Tanpınar;;;EBS-KTP-0138;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaz Yağmuru;A. Hamdi Tanpınar;;;EBS-KTP-0139;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaşadığım Gibi;A. Hamdi Tanpınar;;;EBS-KTP-0140;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Baladan Bir Ses;A. Hamit Tarhan;;;EBS-KTP-0141;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Belde;A. Hamit Tarhan;;;EBS-KTP-0142;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Divaneliklerim;A. Hamit Tarhan;;;EBS-KTP-0143;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Duhter-i Hindu;A. Hamit Tarhan;;;EBS-KTP-0144;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Eşber;A. Hamit Tarhan;;;EBS-KTP-0145;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fitnen;A. Hamit Tarhan;;;EBS-KTP-0146;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Havle;A. Hamit Tarhan;;;EBS-KTP-0147;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İçli Kız;A. Hamit Tarhan;;;EBS-KTP-0148;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Macera-Yı Aşk;A. Hamit Tarhan;;;EBS-KTP-0149;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Makber;A. Hamit Tarhan;;;EBS-KTP-0150;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nesteren;A. Hamit Tarhan;;;EBS-KTP-0151;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sahra;A. Hamit Tarhan;;;EBS-KTP-0152;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sardanapal;A. Hamit Tarhan;;;EBS-KTP-0153;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tarık;A. Hamit Tarhan;;;EBS-KTP-0154;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tayflar;A. Hamit Tarhan;;;EBS-KTP-0155;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Validem;A. Hamit Tarhan;;;EBS-KTP-0156;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Zeyneb;A. Hamit Tarhan;;;EBS-KTP-0157;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ölü;A. Hamit Tarhan;;;EBS-KTP-0158;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kırık Saz Gölgeler;A. Muhip Dıranas;;;EBS-KTP-0159;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
O. Böyle İstemezdi;A. Muhip Dıranas;;;EBS-KTP-0160;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çıkmaz;A. Muhip Dıranas;;;EBS-KTP-0161;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aramak Ve Söylememek;A. Nihat Asya;;;EBS-KTP-0162;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Avrupa’dan Rubailer;A. Nihat Asya;;;EBS-KTP-0163;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ayetler;A. Nihat Asya;;;EBS-KTP-0164;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aynalarda Kalan;A. Nihat Asya;;;EBS-KTP-0165;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ayın Aynasında;A. Nihat Asya;;;EBS-KTP-0166;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Bayrak Rüzgar Bekliyor;A. Nihat Asya;;;EBS-KTP-0167;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dualar Ve Aminler;A. Nihat Asya;;;EBS-KTP-0168;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Emzikler;A. Nihat Asya;;;EBS-KTP-0169;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Enikli Kapı;A. Nihat Asya;;;EBS-KTP-0170;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fatihler Ölmez Ve Takvimler;A. Nihat Asya;;;EBS-KTP-0171;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Heykeltıraş;A. Nihat Asya;;;EBS-KTP-0172;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kanatlar Ve Gagalar;A. Nihat Asya;;;EBS-KTP-0173;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kanatlarını Arayanlar;A. Nihat Asya;;;EBS-KTP-0174;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kova Burcu;A. Nihat Asya;;;EBS-KTP-0175;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
